env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,1,863.62,926.8,596.95,0,0,0.932,403.3,1007616,0.46901145577430725,0.3364229500293731,0.1695336252450943,0.36666393280029297,0.20486562848091075,0.01940101385116577,73.41388702392578,33.75795707702637,0.4741563966603783,0.8159322738647461,-0.43071818351745605,0.011799896135926247,0.05529233315593653,0.12015787760416667,0.10646565755208333,-0.7900478839874268,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,2,1047.02,1047.02,503.28,0,0,1.0,401.9,1007616,0.4261898696422577,0.33609369993209826,0.20562341809272766,0.5741235017776489,0.2320533037185665,0.049740612506866455,71.17893981933594,47.896030044555665,0.22700775638828433,-0.019023656845092773,-0.34172821044921875,0.015151500701904297,0.05995323348337481,0.10630289713541667,0.10630289713541667,-0.7707549333572388,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,3,34.9,904.63,120.18,1,0,0.039,407.9,1007616,0.5983814597129822,0.36822306811809535,0.21700838208198547,0.5422840118408203,0.17277827858924855,0.047575533390045166,37.548126220703125,29.895495033264158,0.48278449415191405,0.4258432984352112,-0.9038453102111816,0.020782068371772766,0.07695402323970414,0.15816243489583334,0.15732828776041666,-0.7633166313171387,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,1,1120.98,1120.98,627.84,0,0,1.0,407.2,1007616,0.42028573155403137,0.3003675013780594,0.23073871433734894,0.3099292516708374,0.20084682106971719,0.04907119274139404,41.52436065673828,28.880954360961912,0.22250818140138456,-0.12698042392730713,-0.46018433570861816,0.010695023462176323,0.04711422632321669,0.13671875,0.11956787109375,-0.7700151205062866,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,2,1087.76,1087.76,553.57,0,0,1.0,402.4,1007616,0.481825590133667,0.3204491525888442,0.34398356080055237,0.5918611884117126,0.22621168494224522,0.08421653509140015,71.48748016357422,44.704207992553705,0.19164450381829487,-0.000950932502746582,-0.4115954637527466,0.012385457754135132,0.05555726736413148,0.09360758463541667,0.0933837890625,-0.787881076335907,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,3,-260.55,790.68,86.93,1,1,-0.33,407.8,1007616,0.5320211052894592,0.373591935634613,0.4141453206539154,0.35595518350601196,0.18465217351913438,0.13674867153167725,39.003074645996094,31.792808151245115,0.4787258806267405,0.512444019317627,-0.404093861579895,0.015627950429916382,0.08167805976449578,0.17283121744791666,0.15962727864583334,-0.7953989505767822,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,1,675.37,958.64,519.84,0,0,0.705,406.2,1007616,0.6656460165977478,0.3648550361394881,0.2957434058189392,0.3415060043334961,0.19720927476882927,0.08793169260025024,54.21550369262695,31.645646286010738,0.3472503811363282,-0.05343341827392578,-0.41991937160491943,0.0130919823423028,0.0490491339327175,0.11183675130208333,0.10589599609375,-0.7670068740844727,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,2,870.45,943.83,517.25,0,0,0.922,409.9,1007616,0.5181717872619629,0.3710637480020523,0.26677846908569336,0.4071865677833557,0.23141262531280482,0.06035876274108887,51.13170623779297,43.42194290161132,0.16865950774371138,0.17665457725524902,-0.46475350856781006,0.012959853745996952,0.05507033234567573,0.10146077473958333,0.10146077473958333,-0.7842628955841064,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,3,-374.14,827.43,365.84,1,1,-0.452,417.6,1007616,0.7326099276542664,0.4392699122428889,0.7326099276542664,0.6423515677452087,0.22305192351341221,0.31051093339920044,50.750877380371094,38.22022399902343,0.6093968065773568,0.5916305780410767,-0.638359785079956,0.04986191168427467,0.15158601376079098,0.214111328125,0.20973714192708334,-0.8269466161727905,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80,1,97.23,839.21,472.2,0,0,0.116,411.8,1007616,0.8810487985610962,0.5146726787090299,0.3336219787597656,0.6683947443962097,0.2599464237689972,0.17551636695861816,48.2295036315918,34.49693908691406,0.23137932870446182,-0.035659193992614746,-0.4927009344100952,0.014938720501959324,0.057502986147837894,0.17616780598958334,0.17486572265625,-0.7372145652770996,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80,2,860.67,900.95,422.57,0,0,0.955,412.9,1007616,1.1844624280929565,0.5051922112703322,0.43118995428085327,0.851719319820404,0.2823509335517882,0.165757417678833,44.97576141357422,34.01617240905762,0.19775295063732115,0.061664044857025146,-2.3593790531158447,0.007971556857228279,0.03590714717854852,0.13767496744791666,0.11787923177083333,-0.7579762935638428,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80,3,1140.51,1147.07,739.99,0,0,0.994,423.1,1007616,2.673659086227417,1.572995245456695,0.8287491798400879,7.200621128082275,2.5533004760742153,0.9192100167274475,58.979881286621094,47.610598754882794,0.5868005272818775,0.897150456905365,-1.0003838539123535,0.04896891117095947,0.1030500482203428,0.5075480143229166,0.5075480143229166,-0.8240353465080261,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt10,1,310.24,850.8,268.36,1,0,0.365,396.1,1007616,5.752313613891602,0.550750970840454,0.39553382992744446,8.829669952392578,0.27308272719383236,0.17561155557632446,88.85191345214844,79.06139526367184,-1.0662177064554479,-1.2438545227050781,-3.1372551918029785,0.02104668878018856,0.0728256985322465,0.11049397786458333,0.07645670572916667,-0.7403659820556641,0.00032552084303461015,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt10,2,-121.61,153.2,-47.08,0,0,-0.794,389.9,1007616,0.6712499260902405,0.5283303201198578,0.46125438809394836,0.348935604095459,0.21363570094108578,0.18194162845611572,97.8447265625,79.00954742431641,-1.0805222329085435,-1.6851658821105957,-3.2574715614318848,0.015844907611608505,0.0749551089566421,0.11993408203125,0.11519368489583333,-0.6293823719024658,0.0013020833721384406,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt10,3,1030.63,1030.63,673.03,0,0,1.0,410.2,1007616,0.537649929523468,0.4216768562793731,0.2730177938938141,0.2437790036201477,0.1514334678649902,0.06795227527618408,64.99492645263672,45.03995971679687,-0.020333121947156703,0.5735059976577759,-1.2635886669158936,0.0318165048956871,0.12191786604867112,0.16684977213541666,0.16684977213541666,-0.6510389447212219,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20,1,266.93,605.43,38.06,1,0,0.441,391.9,1007616,2.4194297790527344,0.5117412239313124,0.34827476739883423,6.252862453460693,0.24690651297569272,0.1466066837310791,93.44209289550781,62.676227188110346,-1.1264651771483383,-0.5551648139953613,-2.062074899673462,0.038813792169094086,0.13263517476158257,0.10673014322916667,0.10673014322916667,-0.788345456123352,0.0,8.138021075865254e-05
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20,2,-285.03,410.14,-28.78,1,1,-0.695,393.7,1007616,2.7586655616760254,0.5652659118175505,0.4609746038913727,8.877314567565918,0.3200427114963531,0.12751102447509766,106.80069732666016,82.95114135742186,-1.0810110617459305,-1.5931041240692139,-3.0893874168395996,0.01695139892399311,0.06301413806902048,0.20821126302083334,0.20821126302083334,-0.6729394793510437,0.0011393229942768812,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20,3,855.39,953.36,661.92,0,0,0.897,413.5,1007616,0.5491629838943481,0.4569780915975569,0.3958628475666046,0.3090950846672058,0.18649892210960387,0.1880701184272766,59.38006591796875,45.25430221557617,-0.04319166894850692,0.7100614309310913,-1.4020142555236816,0.025595787912607193,0.10287257918616163,0.3428141276041667,0.3428141276041667,-0.6016755104064941,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt40,1,-403.33,812.13,3.3,1,1,-0.497,393.3,1007616,7.693402290344238,0.7481468796730041,0.632651150226593,35.479034423828125,0.5384000837802886,0.31740784645080566,116.28140258789062,83.82300643920895,-0.863014844374928,-0.7212510108947754,-1.8845365047454834,0.03987157344818115,0.15201093494165574,0.5543619791666666,0.5301920572916666,-0.7406083345413208,0.000732421875,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt40,2,-476.16,71.42,-181.32,0,0,-6.667,384.2,1007616,14.457714080810547,0.7060529470443726,0.767549991607666,139.2297821044922,0.4132008731365204,0.32161569595336914,150.27377319335938,85.86779708862302,-0.8560533693166283,-0.13141417503356934,-3.10447359085083,0.0261908620595932,0.10145168654354189,0.5904541015625,0.5771077473958334,-0.7737666964530945,0.0013834636192768812,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt40,3,694.14,733.27,474.14,0,0,0.947,415.3,1007616,0.7466951608657837,0.5897497475147245,0.5593577027320862,0.7188378572463989,0.30734096169471736,0.21794486045837402,68.88217163085938,47.94872817993164,-0.041416821925620725,0.8003471493721008,-1.65971040725708,0.021433617919683456,0.09128696560983222,0.5252278645833334,0.5252278645833334,-0.6403932571411133,0.00016276042151730508,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80,1,-414.97,753.1,-210.23,1,1,-0.551,397.5,1007616,27.277729034423828,1.0709514379501341,0.6492090821266174,442.95745849609375,0.9116027057170866,0.4408266544342041,113.7731704711914,87.74673995971679,-0.8489483032769304,-0.7961137294769287,-2.5870656967163086,0.051395535469055176,0.1908650857413761,0.5930582682291666,0.57562255859375,-0.8382920026779175,0.000244140625,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80,2,-353.83,310.2,-137.57,1,1,-1.141,411.0,1007616,26.017839431762695,0.8897445321083064,0.4502762258052826,443.3869934082031,0.8041660487651823,0.2952200770378113,94.17764282226562,82.72097930908203,-0.8791287420241813,-1.0081822872161865,-2.6385538578033447,0.030393589287996292,0.1317134571769007,0.63824462890625,0.6346435546875,-0.671113133430481,0.00048828125,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80,3,473.23,710.93,540.8,0,0,0.666,431.8,1007616,0.8844988942146301,0.6854977428913114,0.7039347290992737,1.1422333717346191,0.3868468403816223,0.3849794864654541,56.09697723388672,51.417890930175766,-0.39784390170399736,0.557483434677124,-2.1833183765411377,0.029709242284297943,0.10805051144639316,0.5464884440104166,0.5435384114583334,-0.7218999862670898,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt10,1,-7.39,-6.31,-6.88,0,0,1.171,263.1,1048576,0.17294514179229736,0.14834093675017357,0.14013953506946564,0.04437291622161865,0.03156232833862305,0.02581876516342163,36.751644134521484,28.94912815093994,,,,,,0.07018280029296875,0.020350138346354168,-0.31268495321273804,0.0,0.000732421875
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt10,2,-25.12,-10.07,-17.38,0,0,2.495,258.8,1048576,0.10206612944602966,0.10096870921552181,0.07306971400976181,0.05937325954437256,0.058363139629364014,0.05011260509490967,37.126644134521484,25.33634853363037,,,,,,0.06858317057291667,0.026067097981770832,-0.3065873384475708,0.0,0.002685546875
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt10,3,230.16,230.16,103.31,0,0,1.0,282.6,1048576,0.11172247678041458,0.1027741301804781,0.09845436364412308,0.02662801742553711,0.02366650104522705,0.02114713191986084,30.6993465423584,25.431952953338623,,,,,,0.07793935139973958,0.019559224446614582,-0.3219374120235443,0.0,0.0038248698692768812
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt20,1,-5.49,-4.89,-6.04,0,0,1.121,262.1,1048576,0.17403453588485718,0.13146439753472805,0.11617665737867355,0.030566036701202393,0.029063910245895386,0.030566036701202393,36.751644134521484,26.983054637908936,,,,,,0.07018280029296875,0.020304361979166668,-0.30272263288497925,0.0,0.0005696614971384406
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt20,2,-26.59,-10.19,-18.11,0,0,2.609,263.5,1048576,0.1240738108754158,0.10635089129209518,0.09537428617477417,0.06176716089248657,0.05913980305194855,0.05795353651046753,37.126644134521484,30.163845539093018,,,,,,0.06858317057291667,0.023920694986979168,-0.3088908791542053,0.0,0.0025227866135537624
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt20,3,142.04,142.04,51.19,0,0,1.0,282.6,1048576,0.11492914706468582,0.1049263346940279,0.11492914706468582,0.024482548236846924,0.022950783371925354,0.022440195083618164,30.6993465423584,23.71489429473877,,,,,,0.07793935139973958,0.020388285319010418,-0.31186947226524353,0.0,0.0033365886192768812
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt40,1,-0.85,-0.85,-5.2,0,0,1.0,261.1,1048576,0.17472942173480988,0.1441594809293747,0.06498556584119797,0.032364726066589355,0.030418917536735535,0.026589035987854004,36.751644134521484,28.16996145248413,,,,,,0.07018280029296875,0.0218048095703125,-0.2839423418045044,0.0,0.0018717448692768812
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt40,2,-25.42,-10.18,-17.82,0,0,2.498,258.3,1048576,0.09595697373151779,0.09561687521636486,0.08319970220327377,0.0607571005821228,0.060188740491867065,0.05552953481674194,37.126644134521484,27.48929262161255,,,,,,0.06858317057291667,0.02265167236328125,-0.35771501064300537,0.0,0.001708984375
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt40,3,135.59,135.59,55.27,0,0,1.0,278.9,1048576,0.13924476504325867,0.12307811342179775,0.13924476504325867,0.02757507562637329,0.026748374104499817,0.026472806930541992,30.6993465423584,23.940993785858154,,,,,,0.07793935139973958,0.019541422526041668,-0.3200598955154419,0.0,0.0023600261192768812
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt80,1,-7.06,-6.09,-6.79,0,0,1.16,259.2,1048576,0.17432630062103271,0.14191657677292824,0.11889360100030899,0.031313180923461914,0.02956196665763855,0.02440565824508667,36.751644134521484,26.966676712036133,,,,,,0.07018280029296875,0.019945780436197918,-0.32054680585861206,0.0,0.0008951823110692203
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt80,2,-28.6,-10.17,-19.06,0,0,2.811,262.8,1048576,0.14403435587882996,0.11960921064019203,0.09356015920639038,0.055952370166778564,0.055701494216918945,0.05561786890029907,37.126644134521484,28.065967559814453,,,,,,0.06858317057291667,0.02368927001953125,-0.34628599882125854,0.0,0.0023600261192768812
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_adam_tanh_ts10_bench_mt80,3,213.26,213.26,100.32,0,0,1.0,281.3,1048576,0.12408891320228577,0.11444311961531639,0.10306479036808014,0.026000499725341797,0.02465251088142395,0.02338474988937378,30.6993465423584,23.458555221557617,,,,,,0.07793935139973958,0.021464029947916668,-0.3087175190448761,0.0,0.004801432602107525
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt10,1,-4.19,-4.19,-5.86,0,0,1.0,258.3,1048576,0.12868669629096985,0.11323733441531658,0.08231224119663239,0.06722807884216309,0.06585979461669922,0.014543414115905762,36.751644134521484,30.32760763168335,,,,,,0.07018280029296875,0.0036799112955729165,-0.5855897665023804,0.0,8.138021075865254e-05
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt10,2,-12.69,-10.05,-12.33,0,0,1.263,256.2,1048576,0.11247354745864868,0.11109679751098156,0.11063788086175919,0.09931737184524536,0.0891713798046112,0.0227813720703125,37.126644134521484,29.194366455078125,,,,,,0.06858317057291667,0.00732421875,-0.6499695181846619,0.0,8.138021075865254e-05
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt10,3,52.0,53.02,25.82,0,0,0.981,279.6,1048576,0.09368496388196945,0.07525576837360859,0.06647875159978867,0.05600661039352417,0.045360833406448364,0.007461369037628174,30.6993465423584,28.605863094329834,,,,,,0.07793935139973958,0.0053863525390625,-0.5157158970832825,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt20,1,-4.22,-4.22,-6.13,0,0,1.0,262.3,1048576,0.11478689312934875,0.11060542985796928,0.09031850099563599,0.07513779401779175,0.06917399168014526,0.014359056949615479,36.751644134521484,32.07687425613403,,,,,,0.07018280029296875,0.003814697265625,-0.5832056403160095,0.0,0.00016276042151730508
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt20,2,-12.2,-10.24,-11.8,0,0,1.192,259.8,1048576,0.11128956079483032,0.10863807983696461,0.10366145521402359,0.0992993712425232,0.09035885334014893,0.02372497320175171,37.126644134521484,28.1730899810791,,,,,,0.06858317057291667,0.0078277587890625,-0.6336858868598938,0.0,0.000244140625
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt20,3,39.03,51.4,22.86,0,0,0.759,279.2,1048576,0.08408796787261963,0.08093441650271416,0.06575191766023636,0.056026995182037354,0.05121403932571411,0.00800257921218872,30.6993465423584,25.903791427612305,,,,,,0.07793935139973958,0.005269368489583333,-0.5114454627037048,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt40,1,-4.64,-4.64,-6.06,0,0,1.0,262.4,1048576,0.10338737815618515,0.09808959066867828,0.10338737815618515,0.08038115501403809,0.07048653066158295,0.010629475116729736,36.751644134521484,26.366568565368652,,,,,,0.07018280029296875,0.0034840901692708335,-0.5920097827911377,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt40,2,-12.46,-10.18,-11.97,0,0,1.223,256.0,1048576,0.1192440614104271,0.11310186982154846,0.09335446357727051,0.09923785924911499,0.0902428925037384,0.021219849586486816,37.126644134521484,28.029296398162842,,,,,,0.06858317057291667,0.008641560872395834,-0.611608624458313,0.0,8.138021075865254e-05
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt40,3,47.42,49.3,21.55,0,0,0.962,278.7,1048576,0.0786764994263649,0.07360669411718845,0.07191675901412964,0.05602157115936279,0.05370914936065674,0.010007798671722412,30.6993465423584,25.14192819595337,,,,,,0.07793935139973958,0.00528717041015625,-0.5258539915084839,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt80,1,-3.95,-3.95,-5.92,0,0,1.0,255.5,1048576,0.10620959848165512,0.10221067629754543,0.10620959848165512,0.07807809114456177,0.06979136168956757,0.01158827543258667,36.751644134521484,29.707377910614014,,,,,,0.07018280029296875,0.0038401285807291665,-0.5896481275558472,0.0,0.0
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt80,2,-12.96,-9.86,-11.97,0,0,1.315,262.4,1048576,0.14174240827560425,0.12120017968118191,0.08586160093545914,0.09909689426422119,0.0927957147359848,0.019801020622253418,37.126644134521484,29.432063102722168,,,,,,0.06858317057291667,0.00909423828125,-0.6014203429222107,0.0,8.138021075865254e-05
halfcheetah,pc_reinforce,halfcheetah_pc_reinforce_sgd_tanh_ts10_bench_lr003_mt80,3,51.91,51.91,24.27,0,0,1.0,276.5,1048576,0.08088768273591995,0.07841676473617554,0.059438712894916534,0.055915772914886475,0.043672114610672,0.009182751178741455,30.6993465423584,28.909085750579834,,,,,,0.07793935139973958,0.005353291829427083,-0.5180578231811523,0.0,0.0
